rank,zip,population,income,startups,national_rank,ca,unit,station,line,income_index,startups_index,income_prop,startups_prop
13,10023,62206,72424,4,1297,R187,N044,81 ST-MUSEUM,BC,1.44,0.36,0.04,0.01
13,10023,62206,72424,4,1297,R187,N045,81 ST-MUSEUM,BC,1.44,0.36,0.04,0.01
15,10017,16201,69273,5,1611,R045,R236,42 ST-GRD CNTRL,4567S,1.38,0.45,0.04,0.01
15,10017,16201,69273,5,1611,R045,R233,42 ST-GRD CNTRL,4567S,1.38,0.45,0.04,0.01
15,10017,16201,69273,5,1611,R046,R238,42 ST-GRD CNTRL,4567S,1.38,0.45,0.04,0.01
15,10017,16201,69273,5,1611,R046,R237,42 ST-GRD CNTRL,4567S,1.38,0.45,0.04,0.01
15,10017,16201,69273,5,1611,R046,R238A,42 ST-GRD CNTRL,4567S,1.38,0.45,0.04,0.01
15,10017,16201,69273,5,1611,R047,R240,42 ST-GRD CNTRL,4567S,1.38,0.45,0.04,0.01
15,10017,16201,69273,5,1611,R047,R237B,42 ST-GRD CNTRL,4567S,1.38,0.45,0.04,0.01
15,10017,16201,69273,5,1611,R048,R241A,42 ST-GRD CNTRL,4567S,1.38,0.45,0.04,0.01
16,10014,32667,66601,20,1931,R290,R123,HOUSTON ST,1,1.33,1.8,0.03,0.05
16,10014,32667,66601,20,1931,R290,R121,HOUSTON ST,1,1.33,1.8,0.03,0.05
16,10014,32667,66601,20,1931,R290,R122,HOUSTON ST,1,1.33,1.8,0.03,0.05
16,10014,32667,66601,20,1931,R290,R124,HOUSTON ST,1,1.33,1.8,0.03,0.05
17,10016,51217,66342,27,1954,R143,R228,28 ST,6,1.32,2.43,0.03,0.06
17,10016,51217,66342,27,1954,R143,R229,28 ST,6,1.32,2.43,0.03,0.06
17,10016,51217,66342,27,1954,R143,R230,28 ST,6,1.32,2.43,0.03,0.06
17,10016,51217,66342,27,1954,R176,R231,33 ST,6,1.32,2.43,0.03,0.06
17,10016,51217,66342,27,1954,R176,R231A,33 ST,6,1.32,2.43,0.03,0.06
17,10016,51217,66342,27,1954,R176,R232,33 ST,6,1.32,2.43,0.03,0.06
17,10016,51217,66342,27,1954,R176,R232A,33 ST,6,1.32,2.43,0.03,0.06
18,10010,26408,62467,56,2471,R131,R227,23 ST,6,1.24,5.04,0.03,0.13
18,10010,26408,62467,56,2471,R131,R227A,23 ST,6,1.24,5.04,0.03,0.13
18,10010,26408,62467,56,2471,R131,R226,23 ST,6,1.24,5.04,0.03,0.13
18,10010,26408,62467,56,2471,R131,R226A,23 ST,6,1.24,5.04,0.03,0.13
18,10010,26408,62467,56,2471,R083,A031,23 ST-5 AVE,NR,1.24,5.04,0.03,0.13
18,10010,26408,62467,56,2471,R083,A030,23 ST-5 AVE,NR,1.24,5.04,0.03,0.13
