rank,zip,population,income,startups,national_rank,ca,unit,station,line,income_index,startups_index,income_prop,startups_prop
38,10027,56168,23150,0,29273,R206,R304,125 ST,23,0.46,0.0,0.01,0.0
38,10027,56168,23150,0,29273,R206,R305,125 ST,23,0.46,0.0,0.01,0.0
39,10026,30377,22491,1,29581,R323,R301,110 ST-CPN,23,0.45,0.09,0.01,0.0
39,10026,30377,22491,1,29581,R324,R303,116 ST,23,0.45,0.09,0.01,0.0
39,10026,30377,22491,1,29581,R324,R302,116 ST,23,0.45,0.09,0.01,0.0
39,10026,30377,22491,1,29581,R333,N030,116 ST,BC,0.45,0.09,0.01,0.0
39,10026,30377,22491,1,29581,R333,N029,116 ST,BC,0.45,0.09,0.01,0.0
39,10026,30377,22491,1,29581,R334,N035,CATHEDRL-110 ST,BC,0.45,0.09,0.01,0.0
39,10026,30377,22491,1,29581,R334,N034,CATHEDRL-110 ST,BC,0.45,0.09,0.01,0.0
40,10029,75390,22232,0,29691,R180,R252,103 ST,6,0.44,0.0,0.01,0.0
40,10029,75390,22232,0,29691,R181,R253,110 ST,6,0.44,0.0,0.01,0.0
40,10029,75390,22232,0,29691,R181,R254,110 ST,6,0.44,0.0,0.01,0.0
40,10029,75390,22232,0,29691,R182,R256,116 ST,6,0.44,0.0,0.01,0.0
40,10029,75390,22232,0,29691,R182,R257,116 ST,6,0.44,0.0,0.01,0.0
41,10030,25847,17970,0,30962,R332,N024,135 ST,BC,0.36,0.0,0.01,0.0
41,10030,25847,17970,0,30962,R332,N023,135 ST,BC,0.36,0.0,0.01,0.0
41,10030,25847,17970,0,30962,R332,N022,135 ST,BC,0.36,0.0,0.01,0.0
41,10030,25847,17970,0,30962,R344,R308,145 ST,3,0.36,0.0,0.01,0.0
42,10039,21737,17370,0,31063,R345,R309,148 ST-LENOX,3,0.35,0.0,0.01,0.0
42,10039,21737,17370,0,31063,R315,N202,155 ST,BD,0.35,0.0,0.01,0.0
43,10035,32702,14896,0,31403,R132,R258,125 ST,456,0.3,0.0,0.01,0.0
43,10035,32702,14896,0,31403,R016,N305A,LEXINGTON-53 ST,EM6,0.3,0.0,0.01,0.0
43,10035,32702,14896,0,31403,R017,N306,LEXINGTON-53 ST,EM6,0.3,0.0,0.01,0.0
43,10035,32702,14896,0,31403,R017,N305,LEXINGTON-53 ST,EM6,0.3,0.0,0.01,0.0
