rank,zip,population,income,startups,national_rank,unit,ca,station,line,income_index,startups_index,income_prop,startups_prop,total entries
36,10031,60221,24285,0,28645,R101,N020,145 ST,ABCD,0.48,0.0,0.01,0.0,1723770
36,10031,60221,24285,0,28645,R101,N019,145 ST,ABCD,0.48,0.0,0.01,0.0,727107
36,10031,60221,24285,0,28645,R273,R178,145 ST,1,0.48,0.0,0.01,0.0,827961
36,10031,60221,24285,0,28645,R273,R177,145 ST,1,0.48,0.0,0.01,0.0,254911
37,10002,84870,24022,3,28798,R300,N523,2 AVE,F,0.48,0.27,0.01,0.01,1149682
37,10002,84870,24022,3,28798,R300,N521,2 AVE,F,0.48,0.27,0.01,0.01,597772
37,10002,84870,24022,3,28798,R142,N525,DELANCEY ST,FJMZ,0.48,0.27,0.01,0.01,996394
37,10002,84870,24022,3,28798,R142,N526,DELANCEY ST,FJMZ,0.48,0.27,0.01,0.01,519713
37,10002,84870,24022,3,28798,R257,N529,EAST BROADWAY,F,0.48,0.27,0.01,0.01,645645
37,10002,84870,24022,3,28798,R257,N528,EAST BROADWAY,F,0.48,0.27,0.01,0.01,771744
37,10002,84870,24022,3,28798,R142,A061,ESSEX ST,FJMZ,0.48,0.27,0.01,0.01,889525
37,10002,84870,24022,3,28798,R240,N520,GRAND ST,BD,0.48,0.27,0.01,0.01,2538761
38,10027,56168,23150,0,29273,R159,R173,116 ST-COLUMBIA,1,0.46,0.0,0.01,0.0,1352455
38,10027,56168,23150,0,29273,R034,R174,125 ST,1,0.46,0.0,0.01,0.0,805451
38,10027,56168,23150,0,29273,R102,N026,125 ST,ACBD,0.46,0.0,0.01,0.0,2368572
38,10027,56168,23150,0,29273,R102,N025,125 ST,ACBD,0.46,0.0,0.01,0.0,693787
38,10027,56168,23150,0,29273,R206,R304,125 ST,23,0.46,0.0,0.01,0.0,819091
38,10027,56168,23150,0,29273,R206,R305,125 ST,23,0.46,0.0,0.01,0.0,555571
39,10026,30377,22491,1,29581,R323,R301,110 ST-CPN,23,0.45,0.09,0.01,0.0,1007352
39,10026,30377,22491,1,29581,R324,R303,116 ST,23,0.45,0.09,0.01,0.0,334697
